region_code,region_lat_center,region_lon_center,event_count,mag_mean,mag_max,depth_mean,sig_mean,tsunami_rate,event_share
G051_022,38.75,-123.75,302540,0.8797565280624049,5.09,2.09642067495437,16.015736762081048,5.288556885039995e-05,0.10109904357912135
G049_025,33.75,-116.25,270102,1.121469077237488,5.71,8.976611483809819,25.022913565986183,7.404610110254645e-05,0.09025931734252605
G051_024,38.75,-118.75,201480,0.9718673813778043,6.5,5.3848073570589445,20.470498312487592,0.0,0.06732807331368205
G050_024,36.25,-118.75,159868,1.169300985813296,7.1,5.259552419502572,26.772931418420196,5.0041284059348964e-05,0.05342269418558528
G043_009,18.75,-156.25,153099,1.8850853371423328,6.7,11.005244136004304,59.64799247545706,0.0,0.051160714196205125
G050_023,36.25,-121.25,109177,1.3168920193813716,6.5,6.026815611334859,32.52504648414959,0.0002381453969242606,0.036483408081039635
G060_011,61.25,-151.25,104829,1.5056443350599549,6.2,57.9779247727251,38.69213671789295,0.0007536082572570567,0.03503044767421072
G061_011,63.75,-151.25,82373,1.276022483095189,5.8,47.383805373119834,29.266628628312674,4.855960084008109e-05,0.027526381690827537
G050_025,36.25,-116.25,71209,0.8794040079203472,5.51,6.167818959682062,18.532755690994115,5.61726748023424e-05,0.023795735420855595
G061_012,63.75,-148.75,69652,1.1815138115201287,6.6,33.49485441911216,26.879572733015564,0.0001004996267156722,0.023275436581519666
G060_012,61.25,-148.75,58651,1.4274765988644695,7.1,28.202790387205674,35.568498405824286,0.0009036504066426829,0.019599259618427466
G043_045,18.75,-66.25,52377,2.525393779712469,6.4,21.938814556007408,103.66030891421808,0.0005536781411688336,0.01750269255484775
G059_010,58.75,-153.75,47107,1.7445617424162017,7.1,79.31035357802449,52.30195087778886,0.0017194896724478316,0.01574162968824509
G053_027,43.75,-111.25,44539,1.0419129302409125,5.3,7.06524993825636,23.607063472462336,0.0,0.01488348747924402
G061_013,63.75,-146.25,37883,1.2960351608901088,7.9,7.471464773117229,31.33355330887205,2.639706464641132e-05,0.012659268420400126
G056_000,51.25,-178.75,37365,1.9706765689816674,7.2,21.20460281011642,71.24493509969223,0.0012043356081894822,0.012486169641481686
G051_023,38.75,-121.25,37188,1.1369334193825964,6.02,8.65887410991862,28.6783370979886,0.0001882327632569646,0.01242702198922577
G054_023,46.25,-121.25,37183,1.0809363149826534,4.5,4.820421240889654,26.628055831966222,0.0,0.012425351151591423
G060_013,61.25,-146.25,28878,1.4734850058868343,5.4,19.390965994874993,36.8187201329732,0.000657940300574832,0.009650089840939598
G051_027,38.75,-111.25,27992,1.4238485995998857,4.56,1.683023363818234,34.23867533581023,0.0,0.009354017412133155
G056_001,51.25,-176.25,27588,1.9250434971726837,7.0,34.07017830216036,69.61077279976801,0.0010511816731912425,0.009219013731277847
G049_024,33.75,-118.75,27285,1.4773887655925895,5.44,9.0749759574858,43.0065970313359,0.0010628550485614807,0.009117760970636365
G060_015,61.25,-141.25,21983,1.3132966383114224,6.0,8.909118546149298,30.71682663876632,0.0006823454487558568,0.007346004743173876
G060_010,61.25,-153.75,21426,1.6968860263231589,5.9,90.86998366470644,49.664379725567066,0.0014468402875011668,0.007159873430707523
G057_005,53.75,-166.25,20891,1.7543995021779715,6.5,29.824006127040352,59.62601120099564,0.0004308075247714327,0.0069810938038323
