year,month,event_count,mag_mean
2006,2,985,4.477258883248731
2006,3,1273,4.501036920659859
2006,4,1340,4.510925373134328
2006,5,1369,4.533360116873631
2006,6,1082,4.50184842883549
2006,7,1435,4.548306620209059
2006,8,1100,4.512181818181818
2006,9,1047,4.467287488061127
2006,10,1146,4.525506108202443
2006,11,1876,4.543139658848614
2006,12,1053,4.511975308641975
2007,1,1397,4.547029348604152
2007,2,953,4.548467995802728
2007,3,1134,4.532813051146385
2007,4,1569,4.584588910133843
2007,5,1068,4.491498127340824
2007,6,1044,4.487375478927203
2007,7,1124,4.519483985765124
2007,8,1376,4.54234011627907
2007,9,1441,4.588403886190146
2007,10,1116,4.552589605734767
2007,11,1054,4.58725806451613
2007,12,1067,4.55929709465792
2008,1,1042,4.478214971209213
2008,2,1040,4.533567307692308
2008,3,1177,4.497417162276975
2008,4,1211,4.511981833195706
2008,5,1681,4.470089232599643
2008,6,1255,4.49996015936255
2008,7,1156,4.469498269896193
2008,8,1172,4.485494880546075
2008,9,1043,4.5108628954937675
2008,10,1315,4.486494296577947
2008,11,1041,4.50716618635927
2008,12,1099,4.513239308462238
2009,1,989,4.641324570273002
2009,2,843,4.682846975088967
2009,3,707,4.677114568599717
2009,4,671,4.6697466467958275
2009,5,602,4.654202657807309
2009,6,602,4.668936877076412
2009,7,756,4.659920634920635
2009,8,786,4.659058524173028
2009,9,641,4.732043681747269
2009,10,1013,4.7535143139190525
2009,11,644,4.683152173913043
2009,12,612,4.706486928104575
2010,1,822,4.700425790754258
2010,2,1181,4.70276883996613
2010,3,1549,4.612485474499677
2010,4,927,4.571801510248113
2010,5,833,4.58609843937575
2010,6,831,4.572984356197352
2010,7,984,4.591585365853659
2010,8,1029,4.587968901846454
2010,9,956,4.5500941422594146
2010,10,914,4.577166301969365
2010,11,951,4.573207150368034
2010,12,1525,4.598393442622951
2011,1,7990,1.7854267834793491
2011,2,7570,1.7145838837516512
2011,3,11040,2.4110036231884058
2011,4,10189,1.6914299735008342
2011,5,9578,1.6526999373564417
2011,6,8130,1.70909963099631
2011,7,8860,1.7537889390519188
2011,8,8449,1.6777559474494024
2011,9,7959,1.6460447292373415
2011,10,8221,1.6189088918623038
2011,11,7738,1.6817536831222537
2011,12,7907,1.5431529024914632
2012,1,8749,1.5465584638244372
2012,2,8455,1.5915340035481964
2012,3,8614,1.6179544926863245
2012,4,9034,1.6871430152756253
2012,5,8254,1.5947286164283982
2012,6,7768,1.5750476313079298
2012,7,7503,1.6321897907503664
2012,8,8819,1.7290815285179726
2012,9,8161,1.859089572356329
2012,10,9315,1.6317412775093934
2012,11,8376,1.648966093600764
2012,12,8735,1.5477458500286205
2013,1,8805,1.6367393526405452
2013,2,8516,1.7959981211836542
2013,3,10416,1.3864103302611368
2013,4,9021,1.583060636293094
2013,5,9516,1.6481841109709963
2013,6,8599,1.5423839981393184
2013,7,8588,1.613327899394504
2013,8,9415,1.56940839086564
2013,9,9230,1.6050216684723728
2013,10,8986,1.6131793901624751
2013,11,9228,1.7693812310359776
