,mag,depth,sig,gap,rms,nst,dmin
mag,1.0,0.35079426042001227,0.9525076801067776,-0.009249409599728274,0.5743854574689522,0.34709318416358165,0.3390310999672464
depth,0.35079426042001227,1.0,0.3447285459273023,-0.007721132056346193,0.29431297855099026,0.09613104986804506,0.15694653831726307
sig,0.9525076801067776,0.3447285459273023,1.0,-0.01670738028111165,0.5738610336234479,0.3980032369047588,0.3690633727788633
gap,-0.009249409599728274,-0.007721132056346193,-0.01670738028111165,1.0,-0.05810922603017854,-0.2834133556816747,0.00833131749673992
rms,0.5743854574689522,0.29431297855099026,0.5738610336234479,-0.05810922603017854,1.0,0.15352675215967038,0.1987901178656509
nst,0.34709318416358165,0.09613104986804506,0.3980032369047588,-0.2834133556816747,0.15352675215967038,1.0,0.022854200689438865
dmin,0.3390310999672464,0.15694653831726307,0.3690633727788633,0.00833131749673992,0.1987901178656509,0.022854200689438865,1.0
