column,missing_ratio,mean,std
mmi,0.9919667591803658,3.8281638467677572,1.6606886483483503
cdi,0.960427152995091,2.4052944940825767,1.4096186201439702
felt,0.960427152995091,49.860144675129,985.3152256619754
dmin,0.3887495520169974,0.4739117631246516,1.9406768321102832
nst,0.297898599087429,21.59079631746774,28.899422139517757
gap,0.2621144541275022,124.33892294267925,68.4120114286985
rms,0.040743533177028134,0.3242518958351798,0.3334640323833228
magType,0.0035088529134762905,,
depth,0.0,24.51459482077893,56.010495846903346
depth_band,0.0,,
depth_log1p,0.0,2.3315968899580346,1.250550659041032
dmin_log1p,0.0,0.12728566936815233,0.3579758866523825
dmin_missing,0.0,0.3887495520169974,0.4874663208840291
gap_missing,0.0,0.2621144541275022,0.4397846394142008
has_cdi,0.0,0.03957284700490906,0.19495345333776876
has_felt,0.0,0.03957284700490906,0.19495345333776876
has_mmi,0.0,0.00803324081963419,0.08926763364187525
hour,0.0,11.31342814224414,6.863992920303845
hour_cos,0.0,-0.01028671563704988,0.7071900615362477
hour_sin,0.0,0.021701570052200445,0.7066157106791002
id,0.0,,
lat_cell,0.0,50.607851547248345,8.405339401079136
latitude,0.0,37.78288625515087,20.984443268242455
lon_cell,0.0,29.89596215849911,31.16572014226564
longitude,0.0,-103.87201658376632,77.86892217144587
mag,0.0,1.791493258640675,1.2549284482143717
mag_band,0.0,,
month,0.0,6.510558614769239,3.3759193170161423
month_cos,0.0,-0.039284630195980746,0.7108856889056144
month_sin,0.0,-0.01125786015535992,0.7021195309556097
nst_log1p,0.0,1.9577568461761523,1.424812102301682
nst_missing,0.0,0.297898599087429,0.4573347688466211
place,0.0,,
region_code,0.0,,
region_id,0.0,2404.6827507791218,593.084015860926
region_key,0.0,,
region_lat_center,0.0,37.769628868120854,21.013348502697838
region_lon_center,0.0,-104.01009460375222,77.91430035566411
rms_log1p,0.0,0.24540948892793193,0.21768244918935525
rms_missing,0.0,0.040743533177028134,0.19769549870925698
sig,0.0,74.02375672295064,101.88521293722413
sig_log1p,0.0,3.478078148434225,1.405554224930139
tsunami,0.0,0.0006100262282427719,0.024691178418102748
type,0.0,,
year,0.0,2013.9728200137329,7.237202166743381
